year,Product_type,Sales
2020,Spirits,6005690.0
2020,Wines,7849533.0
2020,Beers,9323387.0
2020,Ciders & Coolers,1306323.0
2021,Spirits,6483685.0
2021,Wines,8017749.0
2021,Beers,9190604.0
2021,Ciders & Coolers,1831505.0
2022,Spirits,6721907.0
2022,Wines,7822298.0
2022,Beers,8969868.0
2022,Ciders & Coolers,2050922.0
2023,Spirits,6924597.0
2023,Wines,7867890.0
2023,Beers,9336207.0
2023,Ciders & Coolers,2143577.0
2024,Spirits,6888460.0
2024,Wines,7845723.0
2024,Beers,9213736.0
2024,Ciders & Coolers,2290796.0
